condition,mu,stderr,rsquared,desc
A,0.4707576756649312,0.03844917355364085,0.9933733853100556,Glu 4 %
B,0.36573653342319196,0.013432561323618492,0.9986529132985301,Medium / LB
C,0.42018996403012454,0.01638500267885736,0.9984817551510166,Medium / BHI
D,0.450024769223445,0.06329462573065613,0.9806021464509452,Substrate / Glu 8 %
E,0.2588794656548248,0.11423588618038094,0.8370164112593782,Substrate / Glu + Ac
F,0.2436095153197392,0.011023095631705459,0.9979567083660764,Substrate / Ac 2 %
G,0.17322917249526465,0.012407972693598921,0.994895688790307,Stress / EtOH 2 %
H,0.33623251149900746,0.010767529672104682,0.9989755103223383,Stress / H2O2
I,0.24749205593768395,0.006862826331739893,0.9992316666580647,Stress / 37 °C
J,0.32689650039662005,0.006356355599363076,0.999622052343689,Stress / pH 6.5
K,0.3366808301878411,0.01679264318770316,0.9975184542833971,Stress / pH 7.9
L,0.1880249503572554,0.009658710671916941,0.9973681396624051,Stress / NaCl 3 %
